OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat "u"; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u oos\install ; FAIL ; Wed 09/23/2020 ; 10:44:41.49 
OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat "u"; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u oss\install ; FAIL ; Wed 09/23/2020 ; 10:46:25.90 
OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat ""; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u oss\install ; FAIL ; Wed 09/23/2020 ; 10:50:31.08 
OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat "u"; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u oss\install ; FAIL ; Wed 09/23/2020 ; 11:05:11.92 
OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat "u"; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u oss\install ; FAIL ; Wed 09/23/2020 ; 11:13:06.86 
OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat "u" ; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u asd ; OK ; Wed 09/23/2020 ; 11:14:26.37 
OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat "u"; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u oss\install ; FAIL ; Wed 09/23/2020 ; 11:15:50.68 
OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat "u"; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u oss\install ; FAIL ; Wed 09/23/2020 ; 11:18:48.06 
OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat "u" ; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u  ; OK ; Wed 09/23/2020 ; 11:26:33.38 
OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat u ; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u  ; OK ; Wed 09/23/2020 ; 11:27:32.13 
OSES-1211 ; \\172.2.2.4\Software\ProgramS\_ScriptS\_install_CBSecureBrowser.bat u; \\172.2.2.4\Software\ProgramS\_ScriptS\_process_ComputerS.txt /u oss\install ; FAIL ; Wed 09/23/2020 ; 11:28:05.77 
